EAN,URL_1,URL_2,URL_3
778988500415,https://www.bambule.cz/spolecenska-hra-hedbanz-hadanek-1937908/,https://eshop.albi.cz/spolecenska-hra-hedbanz-hadanek/?srsltid=AfmBOopaFwVQu1-KvYqVjz-dv6gnGo0A4cWY8LcGDxlWneTrzHYRgKaB,https://shop.iglobus.cz/cz/hedbanz-hra-hdanek-od-spin-master-games/778988500415?srsltid=AfmBOopw2H9ikU-ymKi0_xPD0QkCrTX9ZLg4s74l_LWOBTc_n1zuSrgT
778988416471,https://eshop.albi.cz/jumanji-nove-vydani/?srsltid=AfmBOopmaJ5-dHNaCslLtN-HLSF3Y82h-oOCtkvcelC3rupfVZVGaO5k,https://www.bscom.cz/deskova-hra-smg-spol-hra-jumanji-cz-778988416471_d1514049/,https://www.mall.cz/hry-puzzle/lebula-deskova-hra-jumanji-hraj-100151348874
778988385463,,,
778988447666,https://www.dracik.cz/hra-jumanji-62285/,https://www.toysshop.cz/spin-master-smg-spol-hra-jumanji-sk/?srsltid=AfmBOooZgABzHFr3iJAxl7mzH2hMt33F216ck8Sj3R3PoR34hs5YHozl,https://pompo.cz/spin-master-jumanji-spolecenska-hra-sk_z383/
778988387801,https://www.dracik.cz/poraz-rodice/,https://www.bambule.cz/spolecenska-hra-poraz-rodice/,https://pompo.cz/spin-master-smg-poraz-rodice-spol-hra-cz_z252/
778988436554,https://www.remauh.cz/vratka-vez-modra-P/,https://www.bambule.cz/vratka-vez-modra/,https://pompo.cz/spin-master-smg-vratka-vez-modra_z48107/
681147033658,https://www.legenio.cz/spin-master-tech-deck-sk8-crew-autobus-playset-p75174/,https://www.bscom.cz/fingerboard-tech-deck-sk8-crew-autobus-playset-681147033658_d2166734/,https://www.alza.cz/hracky/tech-deck-sk8-crew-autobus-playset-d12284444.htm
681147034389,https://www.toysshop.cz/spin-master-tech-deck-sk8-crew-fingerboard-s-figurkou-dvojbaleni/?srsltid=AfmBOoryYM7DIfWyfX8hpQK5ECSt6aSpbhrXOuS-Xy-F8jDt0ocRrjnF,https://www.sparkys.cz/spin-master-tech-deck-sk8-crew-fingerboard-s-figurkou-dvojbaleni/,https://www.toysshop.cz/pl/spin-master-tech-deck-sk8-crew-fingerboard-s-figurkou-dvojbaleni/?srsltid=AfmBOopPRebJwdOk6sTSzVLhr-M5vuBrX2wz6Ef_j8Df5gjuu-jgz36A
681147034648,https://pompo.cz/spin-master-tech-deck-sk8-crew-fingerboard-s-figurkou-vice-druhu_z211339/,https://www.sparkys.cz/spin-master-tech-deck-sk8-crew-fingerboard-s-figurkou/,https://www.toysshop.cz/pl/spin-master-tech-deck-sk8-crew-fingerboard-s-figurkou/?srsltid=AfmBOoprLYZZtMA4WvEqHK6Jp5PUr2V540prci8vW3GHfrYNsqNkE23-
778988438794,https://www.legenio.cz/spin-master-tlapkova-patrola-hlidkovaci-vez-nova-p68865/,https://www.originalky.cz/paw-patrol-hlidkovaci-vez-p269177/,https://www.alza.cz/hracky/tlapkova-patrola-hlidkovaci-vez-d7630699.htm
